Turning times,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,V4_Ventilation Day,V1_Ventilation Type,Application Rate (%DW),Additive_2,Material_3,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Compost volume (m3),Material_Main,Initial Moisture Content (%),Material_2, Composting Method,Initial GI (%),V3_Ventilation Duration (min),Period (d),Initial pH,Additive_1,M1_is Enclosed,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
30.0,42.92841611698525,0.0,None,42.0,Continuous,7.86256280845949,Mg(OH)₂,Green waste,1.8983429624915429,None,0.08,Goat manure,49.99999999999999,Woody peat,Trough,27.328846580645163,0.0,87.0,7.187050059782113,Sulfur,1.0,0.875,37.59723619751522,109.315507,4.056511487753556,0.6543300151824951,0.1906807721797261,1000000.0
0.0,20.0,0.0,None,80.0,Continuous,3.06550021846945,Biochar,Mature compost,0.607129832781649,None,0.08,Goat manure,63.0,None,Windrow,27.32884658064516,0.0,131.0,9.591928584379446,Phosphogypsum,1.0,0.875,30.09466775441257,108.93239549999998,5.86061512595711,0.5055645704269409,0.1458710416476124,1000000.0
0.0,34.0,0.0,None,0.0,None,6.02247361739066,Calcium magnesium phosphate fertilizer,Byproduct,0.0,None,0.08,Goat manure,76.50219174646762,Byproduct,Windrow,27.32884658064516,0.0,84.0,6.0,Sodium phosphates,0.0,0.875,10.363434676846136,107.75231700000006,5.859856340857254,0.1610536575317382,0.1034847494874168,1000000.0
0.0,36.0,0.0,None,44.0,Continuous,5.625497398712579,Inorganic acid,Byproduct,0.2844810689404375,None,0.08,Goat manure,81.02447535272368,Soil,Windrow,27.328846580645163,0.0,81.0,5.0,Sodium phosphates,0.0,0.875,26.48796571155199,110.142702,6.513110511717374,0.1223682016134262,0.1373888169767673,1000000.0
11.0,40.47122694634663,0.0,None,8.0,Continuous,8.23159772720367,Calcium magnesium phosphate fertilizer,Green waste,1.5728290113612031,None,0.08,Goat manure,53.0,Straw,Windrow,27.32884658064516,0.0,117.0,7.0,Sand,0.0,0.875,35.4123235780533,110.82373100000002,4.16108712779742,0.641227126121521,0.162593892164322,22.30636574482492
7.0,37.0,0.0,None,5.0,Continuous,9.219476031600454,Calcium magnesium phosphate fertilizer,None,1.1680033363141906,None,0.08,Goat manure,77.46500248576737,Plastic tube pieces,Windrow,27.32884658064516,0.0,26.0,11.295360147527504,Sand,0.0,0.875,6.338156236899903,107.027976,6.381428275286127,0.6845153570175171,0.1789511983030692,1000000.0
1.0,45.20765667644843,1042.0,None,32.0,Intermittent ,6.397200758450314,Gypsum,Poultry manure,1.8052968064005448,None,0.08,Goat manure,52.0,Husk,Reactor,27.32884658064516,0.588408338902926,117.0,9.979991586554949,Sulfur,1.0,0.875,39.556699591892375,108.99038,-0.761754467543485,0.1184728071093559,0.1548135219463449,20.216690866325017
11.0,22.0,0.0,None,29.0,Continuous,8.247620856617377,DCD,Straw,1.369665372517341,None,0.08,Goat manure,73.08524016453705,Husk,Reactor,27.32884658064516,0.0,129.0,8.030469936612437,Sand,1.0,0.875,19.37381135565604,106.82583100000002,6.981919471753437,0.5918170809745789,0.2136341447610149,1000000.0
13.0,35.0,91.0,None,49.0,Intermittent ,4.875706960337273,DCD,Green waste,1.374333166023459,None,0.08,Goat manure,62.0,Straw,Reactor,27.32884658064516,4.369382596362643,53.0,7.0,Sand,1.0,0.875,27.70483015213052,110.232652,8.229692537357474,1.0310860872268677,0.1913186352456562,1000000.0
8.0,41.68631887204647,0.0,None,0.0,None,7.999096694420927,Calcium magnesium phosphate fertilizer,Mature compost,0.0,None,0.08,Goat manure,78.2224535099354,Woody peat,Windrow,27.32884658064516,0.0,21.0,5.0,Potassium phosphate,1.0,0.875,36.47552901304066,107.19740000000009,6.85549666520177,0.6937041282653809,0.1724257891336368,27.59681100157433
