Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
31.0,Intermittent ,None,52.0,2.0,1.273324006674804,Poultry manure,27.32884658064516,Reactor,45.726638797252576,1.0,None,5.980732629658359,9.315708784031678,Gypsum,Biochar,514.0,2.0,Sheep manure,0.045,37.0,Soil,1.97,12.223936024587053,113.06436900000004,7.161046634690967,0.8087201118469238,0.1497778564681353,1000000.0
35.0,None,None,65.0,28.0,0.0,None,27.32884658064516,Windrow,0.0,1.0,None,8.744270730562484,8.364333619704185,LB Culture,Calcium magnesium phosphate fertilizer,0.0,0.0,Sheep manure,0.045,74.0,Husk,1.97,19.933831550826465,108.067173,7.059615195210737,0.3342889249324798,0.2178803866503608,1000000.0
13.0,Intermittent ,None,50.0,14.0,1.434417723494008,Poultry manure,27.32884658064516,Reactor,57.34166908713538,1.0,None,7.478343108928977,7.0,LB Culture,Zeolite,276.0,3.0,Sheep manure,0.045,132.0,Husk,1.97,29.166988561282967,112.15875700000004,7.1799952068139685,0.9920374751091005,0.1700227566625655,1000000.0
40.06400160506377,Intermittent ,None,51.0,19.0,0.3690181166792139,Green waste,27.32884658064516,Windrow,59.64649386938147,0.0,None,8.567407450533874,10.560093240368053,Inorganic acid,Organic acid,526.0,4.0,Sheep manure,0.045,68.0,Sawdust,1.97,78.92608316197563,111.38071100000003,7.1799952068139685,0.9920374751091005,0.1381255211947852,25.657461341674495
17.158189372255798,Intermittent ,None,81.44610530489216,30.0,1.0232831012777872,Green waste,27.32884658064516,Trough,24.92726158102163,0.0,None,7.37829986940519,10.843890761381637,Mature compost,Biochar,476.0,1.0,Sheep manure,0.045,125.0,Sawdust,1.97,38.17624988452592,110.19409900000002,7.696736229564326,0.7637571096420288,0.1608243415690173,1000000.0
13.0,Intermittent ,None,64.0,29.0,0.9544696645162554,None,27.32884658064516,Windrow,37.43676288152793,0.0,None,6.817091539762844,8.955805134388811,Potassium phosphate,Calcium magnesium phosphate fertilizer,1342.0,4.0,Sheep manure,0.045,116.0,None,1.97,71.90495863332605,112.77113400000002,7.093693774499752,1.000056505203247,0.147163308114811,1000000.0
44.63559814153903,Intermittent ,None,51.0,29.0,1.9065109497272028,Poultry manure,27.32884658064516,Windrow,50.42923326311333,0.0,None,8.662370283220726,11.062581978867009,Mg(OH)₂,MgO,735.0,3.0,Sheep manure,0.045,102.0,Plastic tube pieces,1.97,87.93212833883189,112.11639500000008,7.161046634690967,0.9920374751091005,0.1526602515947872,25.83631131738621
18.0,None,None,55.0,2.0,0.0,Byproduct,27.32884658064516,Reactor,0.0,1.0,None,6.339766843619114,5.0,Potassium phosphate,Biochar,0.0,0.0,Sheep manure,0.045,42.0,Green waste,1.97,77.77573209692511,107.992818,7.58597521098674,0.2236140519380569,0.1871803067290653,1000000.0
37.0,None,None,83.77975534665207,22.0,0.0,Straw,27.32884658064516,Trough,0.0,1.0,None,6.684367229672058,8.0,MgHPO₄,DCD,0.0,0.0,Sheep manure,0.045,118.0,Husk,1.97,20.13271018998912,107.339085,8.12095793334512,0.2928940951824188,0.2177132679240264,1000000.0
25.0,None,None,57.0,25.0,0.0,Byproduct,27.32884658064516,Reactor,0.0,1.0,None,3.466350812578056,9.0013035686268,K₂SO₄,Calcium magnesium phosphate fertilizer,0.0,0.0,Sheep manure,0.045,107.0,Straw,1.97,29.80049779913462,107.879274,6.417660204447881,0.3342889249324798,0.1884557833777859,1000000.0
11.0,Intermittent ,None,70.0,21.0,1.1210758205460527,Mature compost,27.32884658064516,Windrow,40.560503824027805,1.0,None,6.201384697975484,8.0,Organic acid,Mg(OH)₂,268.0,3.0,Sheep manure,0.045,91.0,Woody peat,1.97,60.07219572796508,112.92708000000002,6.4517387837368965,0.9920374751091005,0.1967472333185136,1000000.0
