Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,None,44.68110382999216,Potassium phosphate,5.335716335272519,0.0,4.0,27.32884658064516,None,72.33081812595422,0.15181,28.0,0.0,0.0,0.0,Sand,Windrow,OFMSW,Green waste,9.045239571231464,None,1.411,63.04503750411894,105.01762600000004,7.381113700709087,0.2558768093585968,0.1564529234644829,21.118666637427317
None,0.0,None,25.0,Gypsum,6.415362034291742,1.0,23.0,28.033137379681133,Mature compost,73.15853038851634,0.15181,82.0,0.0,0.0,0.0,Zeolite,Windrow,OFMSW,None,10.777768796039313,None,1.411,49.24258154591851,101.73530166666671,7.844128126468604,0.1005243435502052,0.1640842050056398,1000000.0
None,0.0,None,38.0,Mg(OH)₂,3.089833140263768,0.0,4.0,27.32884658064516,Poultry manure,73.40920030590115,0.15181,126.0,0.0,0.0,0.0,K₂SO₄,Trough,OFMSW,Plastic tube pieces,9.059000612473405,None,1.411,29.054364980499194,103.45450700000004,7.826869058860523,0.1393856704235077,0.1648172462440823,1000000.0
None,0.0,None,14.0,MgO,5.425195489991571,0.0,3.0,27.32884658064516,Mature compost,67.0,0.15181,43.0,0.0,0.0,0.0,Sand,Windrow,OFMSW,Green Waste,9.555420260741274,None,1.411,28.814294264187332,105.01762600000004,7.087111715467677,0.195853054523468,0.1523496000763141,1000000.0
None,0.0,None,30.0,MgO,5.029706284654357,0.0,5.0,27.32884658064516,Mature compost,60.0,0.15181,61.0,0.0,0.0,0.0,Mg(OH)₂,Windrow,OFMSW,None,8.0,None,1.411,37.48607175672098,104.67930600000004,7.087111715467677,-0.0451307110488414,0.1736254095613765,1000000.0
None,0.0,None,13.0,MgO,7.207216336485002,0.0,0.0,27.328846580645163,None,70.0,0.15181,112.0,0.0,0.0,0.0,Microbiological agent,Windrow,OFMSW,Byproduct,11.57587355803247,None,1.411,39.24486568455596,104.67010800000006,7.00917532250195,0.2078958451747894,0.1501257509731634,1000000.0
None,0.0,None,27.0,Calcium magnesium phosphate fertilizer,5.535765186198851,0.0,4.0,27.32884658064516,Green waste,66.0,0.15181,24.0,0.0,0.0,0.0,MgO,Windrow,OFMSW,Husk,9.841469716230517,None,1.411,20.39551021339497,104.66083600000005,7.381113700709087,0.3250657618045807,0.1695972850133287,1000000.0
None,0.0,None,40.0,Ca-superphosphate,9.619517784016942,1.0,5.0,27.32884658064516,Green waste,64.0,0.15181,117.0,0.0,0.0,0.0,Urea,Windrow,OFMSW,Green Waste,8.93876172326274,None,1.411,50.39966785410063,105.01762600000004,7.262916618391053,0.148093968629837,0.1713091694303525,1000000.0
None,0.0,None,22.0,Zeolite,6.015388913641616,0.0,6.0,27.32884658064516,None,52.0,0.15181,130.0,0.0,0.0,0.0,Potassium phosphate,Windrow,OFMSW,Green waste,7.224811076184586,None,1.411,55.595447811389285,103.88551700000004,6.843563131890467,0.069436028599739,0.1634442262734517,1000000.0
None,0.0,None,32.0,None,5.319439569886798,1.0,5.0,27.32884658064516,Mature compost,51.0,0.15181,88.0,0.0,0.0,0.0,None,Windrow,OFMSW,Byproduct,5.0,None,1.411,44.92439079868754,105.01762600000004,7.00917532250195,0.3176980018615722,0.1909292129910386,1000000.0
