Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,2,0,33.93692168918831,1.0,120.0,4.0,4.0,4,0.0,0,0.05513157894736841,2.0,69.0,27.32884658064516,0,1,0,3,3.0,8.484958065558786,6.057554065020266,1.938857678018576,65.7988611853979,95.12972400000002,7.664931312516597,0.2276473045349121,0.1525692187509518,11.490367230844406
5.0,2,0,17.0,1.0,97.0,5.0,35.0,4,0.0,0,0.05513157894736841,17.0,53.0,27.32884658064516,0,1,0,3,0.0,9.857975989260275,6.0,1.938857678018576,32.960580526315795,93.71606400000002,7.19309237870159,1.06893789768219,0.14328658436861305,1000000.0
4.0,2,0,13.84259118268282,0.0,73.0,14.0,4.0,4,1.0,0,0.05513157894736841,7.0,66.82582038421192,27.32884658064516,0,1,0,3,3.0,7.83966964356584,7.750507379129363,1.938857678018576,26.838814198216827,93.95343700000001,8.478918865824749,0.5234426259994507,0.11961562665039913,21.448412374159123
5.0,2,0,17.640918728657663,1.0,51.0,3.0,31.0,4,1.0,0,0.05513157894736841,13.0,57.0,27.32884658064516,0,1,0,3,1.0,3.7579528211034776,6.112896560784781,1.938857678018576,34.20323072435961,94.23516400000004,9.992847094296113,1.4672883749008179,0.18620839864849537,21.252584198561802
3.0,2,0,25.674118047022525,1.0,18.0,2.0,8.0,4,2.0,0,0.05513157894736841,14.0,60.060848195021194,27.32884658064516,0,1,0,3,5.0,8.19729799085586,7.145487649877202,1.938857678018576,49.77846090182491,94.12740600000002,7.918332712270553,0.35312992334365845,0.20337185910586725,26.403722746484277
5.0,2,0,34.14799023083271,1.0,71.0,5.0,12.0,4,2.0,0,0.05513157894736841,10.0,63.0,27.32884658064516,0,1,0,3,6.0,8.821876264854385,7.455508777577019,1.938857678018576,66.20809304795333,94.05234400000005,7.918332712270553,0.3254900872707367,0.1993780308578469,18.955235341618618
3.0,2,0,12.0,1.0,114.0,12.0,19.0,4,0.0,0,0.05513157894736841,8.0,65.99957223800916,27.32884658064516,0,1,0,3,8.0,2.806667573992867,7.0,1.938857678018576,23.266292136222912,93.76190100000004,8.439617010237047,0.9747864603996277,0.1381523235850584,1000000.0
5.0,2,0,28.0,1.0,35.0,5.0,30.0,4,0.0,0,0.05513157894736841,8.0,68.85908703833965,27.32884658064516,0,1,0,3,2.0,2.7248490703052273,7.0,1.938857678018576,54.28801498452013,94.03443400000006,9.757488936735076,1.4007785320281982,0.20925509233249562,1000000.0
9.0,2,0,28.0,1.0,36.0,0.0,31.0,4,0.0,0,0.05513157894736841,15.0,64.0,27.32884658064516,0,1,0,3,2.0,3.4871643188869275,7.0,1.938857678018576,54.28801498452013,94.49136400000002,10.676609760001448,1.3465163707733154,0.19863701400060185,1000000.0
9.0,2,0,28.0,1.0,126.0,14.0,30.0,4,0.0,0,0.05513157894736841,10.0,53.0,27.32884658064516,0,1,0,3,8.0,8.521196313564221,7.707706270287737,1.938857678018576,54.28801498452013,94.90764300000002,8.689675098586596,0.2431696355342865,0.19240156649331386,1000000.0
5.0,2,0,38.200620634922586,1.0,32.0,14.0,4.0,4,1.0,0,0.05513157894736841,9.0,58.88826196832243,27.32884658064516,0,1,0,3,2.0,7.009136007273202,7.0,1.938857678018576,74.06556662309451,96.06780100000006,8.478918865824749,1.3209139108657837,0.20303444577903307,25.335412295153265
