Material_Main,V3_Ventilation Duration (min),Additive_4,Initial pH,V2_Ventilation Interval (min),M1_is Enclosed,Turning times,Compost volume (m3),Material_3,Application Rate (%DW),Additive_1,Material_2,V4_Ventilation Day,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW), Composting Method,Initial GI (%),Period (d),Additive_3,Initial C/N (%),Additive_2,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2,1.4199527832232683,1,5.799172278153597,286.0,1.0,16.0,0.06,5.0,5.228535657213812,20.0,13.0,40.0,67.87474125213929,0.18087201260491526,0.0,27.32884658064516,50.0,4,13.66452868655361,9.0,1,1.775,24.254538418632656,96.85700299999999,11.457512490265447,0.43337756395339966,0.1541065279023582,28.81216004488702
2,6.662622405232765,1,6.0,1278.0,1.0,3.0,0.06,2.0,5.564164059784338,13.0,8.0,11.0,67.0,0.3200974702871018,2.0,27.32884658064516,13.0,4,31.0,5.0,1,1.775,55.025,98.65737899999996,7.419397844240581,0.9931693077087402,0.15924438859315918,1000000.0
2,7.596987396323753,1,7.335196561882308,737.0,1.0,14.0,0.06,5.0,2.0438624649215953,23.0,8.0,11.0,52.326120475934786,0.45239573198545835,0.0,27.32884658064516,32.0,4,37.27815656701193,11.0,1,1.775,66.16872790644618,95.94509899999998,5.658136487751704,1.0032508373260498,0.1676475589131701,27.956657950328136
2,3.7022206798233537,1,5.0,275.0,0.0,20.0,0.06,9.0,5.608470285080307,24.0,0.0,79.0,57.719965136349096,0.7528255670673711,2.0,27.32884658064516,89.0,4,10.056181607761406,6.0,1,1.775,17.849722353776496,96.30483099999996,8.274265089282896,0.6054792404174805,0.11613829022138321,27.0013199912506
2,3.390512832280701,1,8.0,29.0,1.0,5.0,0.06,9.0,8.857230260892726,24.0,0.0,15.0,60.53699956041645,1.1468773788339948,0.0,27.32884658064516,25.0,4,28.638372201734057,1.0,1,1.775,50.83311065807795,97.59044099999997,9.956035193470367,0.7345222234725952,0.24877432814455416,24.45065568849361
2,0.32712499708977605,1,6.0,962.0,1.0,15.0,0.06,0.0,9.950722502256378,25.0,0.0,60.0,62.307283477899894,0.973669712194478,2.0,27.32884658064516,74.0,4,16.475184429933936,10.0,1,1.775,29.243452363132736,98.20741899999996,9.393551267317024,0.6057788729667664,0.1362903185278928,27.907520788867394
2,3.9211558938024282,1,8.0,56.0,1.0,5.0,0.06,0.0,9.497424713367376,30.0,5.0,15.0,56.0,1.0897682474127584,0.0,27.328846580645163,25.0,4,10.003365815508575,7.0,1,1.775,17.75597432252772,98.73762799999999,9.263140819430498,0.4620992839336395,0.16458452948933705,24.114896002586434
2,0.31258008794868175,1,7.106987842464279,683.0,1.0,30.0,0.06,3.0,6.439769166382408,18.0,2.0,53.0,59.0,0.3569053310784742,1.0,27.32884658064516,72.0,4,34.239282091439975,15.0,1,1.775,60.77472571230595,98.26146999999997,9.288975627273159,0.4887543320655823,0.14588347628788176,23.967813243620494
2,6.629806059469868,1,7.948911752739532,1282.0,1.0,0.0,0.06,0.0,3.9292631965032108,27.0,14.0,64.0,64.37914551531652,0.32358732859487227,0.0,27.32884658064516,130.0,4,20.227319767865417,11.0,1,1.775,35.90349258796111,97.59184499999999,8.501634650237603,0.9415525197982788,0.14836522897648013,24.987329606229277
2,0.0,1,6.0,0.0,1.0,18.0,0.06,3.0,6.38690694496668,8.0,0.0,0.0,63.59876898380759,0.0,0.0,27.32884658064516,110.0,4,15.968773240279411,5.0,2,1.775,28.344572501495954,96.15890499999999,10.00258345480866,0.6138560771942139,0.1611200204322407,21.822100795958274
2,2.4065763963382403,1,7.276702897478751,1131.0,1.0,16.0,0.06,0.0,2.0184108935513603,15.0,4.0,47.0,57.0,0.4523199244058773,0.0,27.32884658064516,54.0,4,31.820852385773264,5.0,1,1.775,56.48201298474754,97.93808200000001,9.386015066870883,0.9660213589668274,0.1693106719366995,25.67987470979538
2,2.587696947709399,1,7.0,8.0,1.0,0.0,0.06,0.0,6.765147914599535,7.0,5.0,80.0,58.41608384055228,1.2506897382592108,1.0,27.32884658064516,120.0,4,28.92087516733138,10.0,1,1.775,51.3345534220132,97.51755399999998,9.124195187546137,0.605851411819458,0.1994956483770935,1000000.0
2,6.788488980296332,1,8.0,715.0,1.0,2.0,0.06,0.0,9.440005579874676,21.0,8.0,61.0,59.05505350421177,1.0528032124077502,0.0,27.32884658064516,114.0,4,38.367581683893675,6.0,1,1.775,68.10245748891127,98.36027399999999,8.245073233606837,0.44693049788475037,0.15951961705251955,1000000.0
2,2.2426558904050475,1,6.0,61.0,1.0,2.0,0.06,3.0,3.5793939207185144,22.0,13.0,63.0,70.0,1.7353587168623228,1.0,27.32884658064516,122.0,4,20.724699498576015,3.0,1,1.775,36.786341609972425,97.09508399999999,6.802504781007353,0.9374759197235107,0.21191459838062052,27.384918302802596
