Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
6,5,3,28,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,0.0,0.06,57.54,0.48,31.5
6,5,3,13,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,15.82
6,5,3,12,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,27.47
6,5,3,15,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,4.35,0.06,60.3,0.48,32.42
4,0,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,23.4
4,0,3,38,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.05
4,0,3,38,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,6.82
4,0,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.78
4,5,3,28,13,2,0,0,1.0,42.0,0,42.0,0.0,0.0,2.0,0.0,0.17,53.8,0.07,48.7
4,5,3,3,13,2,0,0,1.0,42.0,0,42.0,0.0,0.0,2.0,10.8,0.17,49.3,0.07,41.9
4,5,3,3,13,2,0,0,1.0,42.0,0,42.0,0.0,0.0,2.0,21.6,0.17,50.2,0.07,38.3
5,5,3,28,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,37.08
5,5,3,39,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,28.22
5,5,3,39,3,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,26.16
5,5,3,39,3,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,24.0
6,5,3,28,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,37.5
6,5,3,13,9,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,18.8
6,5,3,39,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,61.92,0.25,24.8
6,5,3,13,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,15.5
5,4,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,33.4
5,3,3,3,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,18.5
5,4,3,3,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.8
