Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N loss (%)
4,5,3,31,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,7.82
4,5,3,4,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,4.11
4,5,3,12,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,3.05
4,5,3,4,3,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,2.05
0,3,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,23.37
0,3,3,33,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,14.49
0,3,3,44,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.26
0,3,3,33,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,19.37
0,5,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.98
0,5,3,33,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.02
0,5,3,44,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,11.79
0,5,3,33,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.95
0,4,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,6.04
0,4,3,33,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,14.49
0,4,3,44,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.19
0,4,3,33,15,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.33
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,13.9
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,18.7
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,20.6
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,12.7
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,16.9
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,32.4
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,9.6
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,27.7
6,5,3,31,13,2,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,24.9
0,3,3,31,13,2,0,1,1.0,21.0,2,21.0,0.0,0.0,0.0,0.0,0.11,71.66,0.0,5.37
0,3,3,31,13,2,0,1,1.0,21.0,2,21.0,0.0,0.0,0.0,0.0,0.09,69.89,0.0,2.59
6,5,3,31,13,2,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,1.93,0.95,69.47,0.31,23.81
0,4,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.45,12.59
0,4,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.47,16.16
0,4,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.45,17.44
6,5,3,31,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,29.5
6,5,3,31,13,2,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,26.6
6,5,3,31,13,2,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,27.9
