Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
8,5.66667,0.0,1.0,0,1,3,4,4,13,4,34.0,0.0,34.0,0.06,0.0,0.2589,14.57143,2.50543,7.99841,65.0,11.37,0.13
10,5.83333,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.06,0.0,0.25,0.0,2.03653,8.2,69.2,18.43351,1.5
10,5.83333,0.0,1.0,0,1,8,13,4,13,4,35.0,0.0,35.0,0.06,0.0,0.25,4.43143,2.03653,8.0,66.915,18.43351,1.4
10,5.83333,0.0,1.0,0,1,11,4,4,13,4,35.0,0.0,35.0,0.06,0.0,0.25,4.0,2.03653,7.25,65.91909,18.43351,1.4
10,5.83333,0.0,1.0,0,1,11,13,4,13,4,35.0,0.0,35.0,0.06,0.0,0.25,1.99018,2.03653,6.75,65.50009,18.43351,2.0
7,5.55556,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,20.6,0.1,4.0,0.62199,0.0,1.79342,6.53,60.0,31.0074,2.05
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,20.6,0.1,4.0,0.62199,2.0,1.79342,6.85,60.0,30.0553,2.01
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,17.6,0.1,4.0,0.60924,4.0,1.78217,6.46,60.0,30.3317,1.53
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,16.1,0.1,2.0,0.60924,6.0,1.78217,6.52,60.0,30.5467,1.42
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,17.8,0.1,4.0,0.60924,8.0,1.77332,6.5,60.0,31.0381,1.24
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,22.6,0.1,4.0,0.57399,10.0,1.71532,6.55,60.0,30.7924,0.75
10,5.55556,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,50.0,0.1,0.0,0.3,0.0,2.084,7.74382,55.0,25.0,0.78311
10,5.55556,0.0,1.0,0,1,11,2,4,13,4,50.0,0.0,50.0,0.1,0.0,0.3,10.0,2.34404,8.21499,63.247,18.29517,0.29833
10,5.55556,0.0,1.0,0,1,15,2,4,13,4,50.0,0.0,50.0,0.1,0.0,0.3,20.0,2.35015,8.13921,65.877,18.06484,0.19711
10,5.55556,0.0,1.0,0,1,15,2,4,13,5,50.0,0.0,50.0,0.1,0.0,0.3,20.5,2.35015,8.0173,65.877,18.06484,0.18645
10,5.55556,0.0,1.0,0,1,15,2,4,13,5,50.0,0.0,50.0,0.1,0.0,0.3,21.0,2.35015,7.84926,65.877,18.06484,0.17047
10,5.55556,0.0,1.0,0,1,15,2,4,13,5,50.0,0.0,50.0,0.1,0.0,0.3,22.0,2.22204,7.82949,65.587,18.76784,0.17047
10,0.0,0.0,0.0,0,1,11,27,4,5,4,84.0,2.0,0.0,0.12,0.0,0.0,0.0,3.86,7.0,81.0,12.2,0.55
10,0.0,0.0,0.0,0,1,11,27,4,13,4,84.0,2.0,0.0,0.12,0.0,0.0,0.0,3.18,7.1,75.8,15.3,0.57
1,0.0,0.0,0.0,0,1,11,27,4,13,4,84.0,2.0,0.0,0.12,0.0,0.0,0.0,2.16,8.7,77.3,22.3,0.06
1,0.0,0.0,0.0,0,1,11,27,4,13,4,84.0,2.0,0.0,0.12,0.0,0.0,0.0,2.25,8.8,77.0,20.1,0.03
1,0.0,0.0,0.0,0,1,11,27,4,0,4,84.0,2.0,0.0,0.12,0.0,0.0,0.0,1.82,6.7,80.0,29.9,0.01
1,0.0,0.0,0.0,0,1,11,2,4,5,4,84.0,2.0,0.0,0.12,0.0,0.0,22.28321,2.26,10.7,84.1,16.9,0.12
1,0.0,0.0,0.0,0,1,11,2,4,13,4,84.0,2.0,0.0,0.12,0.0,0.0,9.53373,2.21,9.8,80.7,20.5,0.02
1,0.0,0.0,0.0,0,1,11,2,4,13,4,84.0,2.0,0.0,0.12,0.0,0.0,15.84383,2.03,10.0,81.5,21.3,0.07
1,0.0,0.0,1.0,0,1,11,27,4,5,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,3.7,7.31177,69.0,11.0,0.01619
1,0.0,0.0,1.0,0,1,11,27,4,6,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,3.7,7.05077,63.0,11.0,0.01181
1,0.0,0.0,1.0,0,1,11,27,4,6,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,3.7,7.05077,66.0,11.0,0.01812
1,0.0,0.0,1.0,0,1,11,27,4,8,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,2.85034,7.2053,65.0,14.7,0.02763
1,0.0,0.0,1.0,0,1,11,27,4,8,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,3.2093,7.55161,67.0,12.9,0.04223
1,0.0,0.0,1.0,0,1,11,2,4,5,4,28.0,0.0,28.0,0.01,0.0,0.28,25.0,2.93413,7.76529,65.0,16.7,0.01279
1,0.0,0.0,1.0,0,1,11,2,4,5,4,28.0,0.0,28.0,0.01,0.0,0.28,14.28571,3.24286,7.91188,67.0,14.0,0.01041
1,0.0,0.0,1.0,0,1,11,27,4,13,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,2.95714,7.21376,65.0,14.0,0.00707
1,0.0,0.0,1.0,0,1,11,27,4,2,4,28.0,0.0,28.0,0.01,0.0,0.28,0.0,3.34711,7.09196,65.0,12.1,0.00779
10,9.25,0.0,1.0,0,1,11,27,4,13,4,37.0,0.0,37.0,0.06,0.0,0.24,0.0,2.36,8.6,64.1,14.7,1.6
10,9.25,0.0,1.0,0,1,11,27,4,13,4,37.0,0.0,37.0,0.06,0.0,0.24,0.0,2.06,8.5,71.3,18.4,1.5
10,9.25,0.0,1.0,0,1,11,27,4,13,4,37.0,0.0,37.0,0.06,0.0,0.24,0.0,1.93,8.4,75.7,21.2,2.1
10,5.73722,0.0,1.0,0,1,11,27,4,13,4,50.06058,0.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.54
10,7.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,0.0,2.22,7.4,64.0,17.4,0.81
10,7.0,0.0,1.0,1,1,11,27,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,0.0,2.22,7.4,64.0,17.4,0.96
10,14.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,0.0,2.22,7.4,64.0,17.4,1.05
10,14.0,0.0,1.0,1,1,11,27,4,13,4,70.0,2.0,0.0,1.2,0.0,0.0,0.0,2.22,7.4,64.0,17.4,1.07
8,5.57143,20.0,1.0,0,1,11,27,4,13,4,39.0,1.0,39.0,0.288,20.0,0.455,0.0,2.089,7.57,68.07,25.38104,1.11
8,5.57143,20.0,1.0,0,1,11,27,4,8,4,39.0,1.0,39.0,0.288,20.0,0.455,0.0,2.247,6.95,68.53,24.5692,1.37
10,7.85714,0.0,0.0,2,1,11,27,4,0,4,55.0,2.0,0.0,11.25,0.0,0.0,0.0,1.998,6.54,60.04,15.39,0.0397
10,3.66667,0.0,0.0,2,1,11,27,4,0,4,55.0,2.0,0.0,11.25,0.0,0.0,0.0,1.998,6.54,60.04,15.39,0.0169
8,5.73722,0.0,0.0,2,1,11,27,4,0,4,50.06058,2.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.018
