Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
3,1.0,0.0,1.0,0,1,13,24,4,5,4,25.0,0.0,25.0,0.0,1.42297,0.03,0.8123,66.0,2.82069,15.25751,6.22669,3.5
4,1.86486,0.0,0.0,1,1,11,27,4,2,4,69.0,2.0,0.0,0.0,0.0,0.08,0.0,80.7,0.82,20.37805,7.78,11.4
4,1.86486,0.0,0.0,1,1,11,2,4,2,4,69.0,2.0,0.0,0.0,3.0,0.08,0.0,80.7,0.9,22.76667,7.78,8.13793
4,1.86486,0.0,0.0,1,1,11,28,4,2,4,69.0,2.0,0.0,0.0,4.0,0.08,0.0,80.7,0.95,19.47368,7.78,4.22508
4,1.86486,0.0,0.0,1,1,0,28,4,2,4,69.0,2.0,0.0,0.0,3.0,0.08,0.0,80.7,0.83,22.13253,7.78,7.9278
10,8.75,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.0,0.0,0.06,0.3,69.2,2.04,18.4,8.23053,32.5
10,8.75,0.0,1.0,0,1,7,13,4,13,4,35.0,0.0,35.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,8.02421,14.5
10,8.75,0.0,1.0,0,1,9,31,4,13,4,35.0,0.0,35.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,7.96947,16.0
10,8.75,0.0,1.0,0,1,9,4,4,13,4,35.0,0.0,35.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,8.16316,13.3
10,8.75,0.0,1.0,0,1,9,13,4,13,4,35.0,0.0,35.0,0.0,0.97178,0.06,0.3,69.2,2.04,18.4,6.85368,5.9
10,5.0,0.0,1.0,0,1,11,27,4,13,4,30.0,0.0,30.0,0.0,0.0,0.12,2.56621,66.11478,1.94767,17.57895,7.25571,1.6
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.0,5.0,0.12,2.56621,62.64748,1.94767,24.11183,6.60761,1.184
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.0,10.0,0.12,2.56621,63.17,1.94767,21.84555,6.57182,0.864
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.0,20.0,0.12,2.56621,63.5,1.94767,16.32083,6.38097,0.688
10,5.0,0.0,1.0,0,1,11,28,4,13,4,30.0,0.0,30.0,0.0,1.0,0.12,2.56621,62.64625,1.94767,17.71373,7.07281,0.848
10,7.0,0.0,1.0,0,1,11,27,4,14,4,28.0,0.0,28.0,0.0,0.0,0.06,0.36,62.06,1.95,17.91,7.79826,13.18
10,7.0,0.0,1.0,0,1,11,4,4,14,4,28.0,0.0,28.0,0.0,10.0,0.06,0.36,58.69,1.96,18.23,7.89913,11.36
