Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.286691477361846,59.0,31.0,20.37047354310015,3.0,1.0,6,1.0,1.0,0.0,2.461259612687683,9.803176308498282,57.0,4.0,0.20550067856278997,4.0,8.0,0.15181,27.32884658064516,4.0,31.0,297.0,1.411,53.057112257066585,108.67285300000003,4.039392466846285,1.1375941038131714,0.14603247613700543,1000000.0
11.299227462313967,118.0,8.0,24.0,3.0,1.0,6,0.0,1.0,2.0,0.0,7.332931623571805,66.0,4.0,0.7570552957343966,5.0,8.0,0.15181,27.32884658064516,11.0,30.0,0.0,1.411,22.234755809504733,103.14459449999998,2.4937980888699474,1.3435722589492798,0.2009134488692582,1000000.0
6.0,24.0,0.0,39.0,9.0,1.0,6,2.0,1.0,2.0,0.0,5.041344379959176,67.0,4.0,0.0,12.0,10.0,0.15181,27.32884658064516,11.0,28.0,0.0,1.411,45.44399733584313,104.91769299999999,3.018356396180236,1.4561761617660522,0.18063474562643703,1000000.0
8.0,126.0,0.0,30.0,5.0,1.0,6,2.0,1.0,0.0,0.0,4.945978259205902,70.0,4.0,0.0,14.0,13.0,0.15181,27.32884658064516,19.0,29.0,0.0,1.411,35.43298833948293,108.60101549999999,3.400966583813751,1.240496039390564,0.19322926872669524,1000000.0
8.778598606749833,36.0,0.0,43.15636622545807,3.0,1.0,6,2.0,1.0,2.0,0.0,2.0379056338897508,51.00000000000001,4.0,0.0,0.0,10.0,0.15181,27.32884658064516,37.0,20.0,0.0,1.411,60.89363274412134,102.11548699999994,2.882385783046997,1.4942220449447632,0.16675306945564458,24.201616411644345
8.022011516820298,15.0,12.0,13.0,5.0,1.0,6,1.0,0.0,2.0,11.250338037108438,7.782007993331986,53.0,4.0,1.3928637755723658,2.0,11.0,0.15181,27.32884658064516,13.0,30.0,971.0,1.411,37.7855849455311,107.39859349999998,4.4114501268128885,1.409257173538208,0.1490311903679499,1000000.0
7.0,61.0,0.0,29.0,2.0,1.0,6,2.0,0.0,2.0,0.0,6.275923048236553,62.0,4.0,0.0,2.0,11.0,0.15181,27.32884658064516,27.0,29.0,0.0,1.411,20.417340324541346,108.876148,2.2252683448248964,1.4598857164382935,0.17234199642467335,1000000.0
11.638309638243864,73.0,28.0,24.0,2.0,1.0,6,0.0,1.0,2.0,0.0,7.433344574175635,56.0,4.0,1.5857761025608954,0.0,15.0,0.15181,27.32884658064516,38.0,26.0,0.0,1.411,37.89973420247781,103.04373099999995,2.586118976550512,1.3173233270645142,0.1843675208743005,1000000.0
8.409594009717814,112.0,0.0,39.0,9.0,1.0,6,2.0,0.0,1.0,0.0,5.225871363759252,80.98045369760814,4.0,0.0,2.0,11.0,0.15181,27.32884658064516,12.0,28.0,0.0,1.411,37.398823864103285,106.77788599999998,2.882385783046997,1.2489250898361206,0.1556714863391893,1000000.0
6.0,110.0,31.0,11.999999999999998,5.0,1.0,6,0.0,0.0,1.0,0.0,8.84072848355983,76.34933579031949,4.0,0.6332010382493103,6.0,11.0,0.15181,27.32884658064516,4.0,29.0,0.0,1.411,44.59150195105488,109.73219900000004,2.2140613165839076,1.1764036417007446,0.1724156753810697,1000000.0
8.204363918691678,53.0,0.0,27.0,3.0,1.0,6,2.0,0.0,1.0,0.0,4.469386735296711,73.88983648480338,4.0,0.0,13.0,11.0,0.15181,27.32884658064516,27.0,26.0,0.0,1.411,25.835481112706997,104.36869699999995,3.400966583813751,1.240496039390564,0.1695289636310327,1000000.0
5.0,41.0,0.0,28.0,5.0,1.0,6,2.0,1.0,0.0,0.0,2.3956388110869407,53.0,4.0,0.0,2.0,11.0,0.15181,27.32884658064516,13.0,31.0,0.0,1.411,52.809051569199646,108.5951735,2.2252683448248964,1.2435706853866577,0.21571017139758425,1000000.0
7.0,40.0,24.0,25.0,9.0,1.0,6,1.0,1.0,0.0,12.635945005097868,2.907215664300171,83.51290447142523,4.0,0.32595425273511225,14.0,13.0,0.15181,27.32884658064516,20.0,28.0,1065.0,1.411,29.59518817167683,103.35952699999996,4.426317113307869,1.1574976444244385,0.17463332202950696,1000000.0
