Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,94.5756
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,89.1513
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,85.941
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,86.2731
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,84.059
8,0,3.5,1,70.0,0,0.0,0.0,0.0,5,2.422,0.0,65.7,116.483
8,1,3.5,1,70.0,0,0.0,0.0,0.0,5,2.422,0.0,65.7,94.5508
8,0,7.0,1,70.0,0,0.0,0.0,0.0,5,11.74,0.0,65.7,118.588
8,1,7.0,1,70.0,0,0.0,0.0,0.0,5,11.74,0.0,65.7,97.0069
8,0,0.0,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,54.0264
8,1,0.0,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,60.1649
8,0,7.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,85.2
8,1,7.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,80.6
8,0,14.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,73.5
8,1,14.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,70.5
8,0,0.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,67.4
8,1,0.0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,65.6
6,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,97.4
8,1,8.0,0,56.0,0,0.0,0.0,0.0,5,1.2,0.0,67.6,121.3
8,1,8.0,0,56.0,0,0.0,0.0,3.3,5,1.2,0.0,67.6,102.0
8,1,8.0,0,56.0,0,0.0,0.0,6.6,5,1.2,0.0,67.6,112.2
8,1,8.0,0,56.0,0,0.0,0.0,9.9,5,1.2,0.0,67.6,121.4
8,1,8.0,0,56.0,0,0.0,0.0,13.2,5,1.2,0.0,67.6,82.5
5,1,3.11111,0,28.0,0,0.0,0.0,0.0,5,0.13,0.0,61.4561,121.0
5,1,3.11111,0,28.0,0,0.0,0.0,2.0,5,0.13,0.0,60.661,127.0
0,0,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,65.9
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,84.8
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.0,0.0,74.0,110.4
0,1,5.33333,1,64.0,0,64.0,0.0,0.0,5,1.0,1.157,74.0,117.9
5,1,0.0,0,25.0,5,25.0,30.0,0.0,5,0.06,0.82645,60.0,97.0
5,1,0.0,0,25.0,5,25.0,30.0,0.0,5,0.06,1.64384,60.0,106.28
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.8589,60.0,75.0
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.92562,60.0,88.5
8,1,14.0,0,28.0,5,28.0,30.0,0.0,5,0.07122,0.90323,60.0,116.05
2,1,7.0,0,28.0,6,28.0,30.0,0.0,5,0.06,1.20727,66.9,70.8
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.96434,58.6,121.4
5,1,0.0,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.15543,59.79,107.576
5,1,0.0,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.31087,59.79,117.677
5,1,0.0,2,21.0,5,21.0,30.0,0.0,3,0.0357,0.15543,59.79,88.3838
6,1,5.06243,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,101.1
6,1,5.06243,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,65.5
6,1,5.06243,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,85.7143
6,1,5.06243,0,43.71769,8,23.34776,3.82857,4.36513,3,0.77243,0.76419,64.04016,48.3
0,1,6.0,0,66.0,0,66.0,0.0,0.0,5,0.028,0.4,72.7,97.7459
0,1,6.0,0,66.0,0,66.0,0.0,0.0,5,0.028,0.4,71.7,93.2377
0,1,6.0,0,66.0,0,66.0,0.0,0.0,5,0.028,0.2,71.7,49.1803
0,1,6.0,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,68.8,95.0
0,1,6.0,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,69.5,86.875
0,1,6.0,0,66.0,0,66.0,0.0,0.0,3,0.028,0.2,67.3,91.6667
0,1,6.0,0,66.0,0,66.0,0.0,0.0,5,0.028,0.2,71.8,112.295
0,0,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,65.7975
0,1,0.0,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,84.2945
0,1,5.33333,1,64.0,0,0.0,0.0,0.0,5,1.1,0.0,74.27405,109.969
0,1,5.06243,1,43.71769,13,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,117.975
1,1,4.44444,1,40.0,0,0.0,0.0,0.0,5,0.2,0.0,65.0,97.619
1,1,4.44444,1,40.0,0,0.0,0.0,1.0,5,0.2,0.0,65.0,130.595
1,1,4.44444,1,40.0,0,0.0,0.0,5.0,5,0.2,0.0,65.0,105.714
1,1,4.44444,1,40.0,0,0.0,0.0,6.0,5,0.2,0.0,65.0,131.786
