M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,6.0,27.32884658064516,4.0,0.0,9.0,56.0,2.0,120.0,0.0,1.0,0.0,26.0,0.0,11.771430918677268,0.0,1,24.0,9.752770384406654,2.0,0.0996875,0.0,2.754411318174137,55.67179235978804,90.799783,6.625580615390738,0.21564140915870667,0.1546491480464527,1000000.0
0.0,8.0,27.32884658064516,4.0,520.0,15.0,62.0,3.0,110.0,0.21369752786072782,1.0,31.0,7.0,1.0,7.0,0.49993066171026523,1,17.0,5.2663951751183316,1.0,0.0996875,3.0,2.754411318174137,36.90735965999827,89.02374600000005,6.451711477023329,0.25318580865859985,0.09477398165022652,1000000.0
1.0,2.0,27.32884658064516,4.0,897.0,10.0,60.0,5.0,49.0,10.05501744457607,1.0,42.0,0.0,2.0,5.0,1.163193363413194,1,36.0,6.6673374235428975,1.0,0.0996875,5.0,2.754411318174137,15.09763232124276,90.21388000000006,5.859562568380741,0.24770037829875946,0.177590390617022,1000000.0
1.0,6.0,27.32884658064516,4.0,899.0,1.0,77.0469289010845,2.0,101.0,51.964863909997256,1.0,84.0,15.0,1.0,7.0,1.5353178292006975,1,36.0,9.825396849931401,1.0,0.0996875,0.0,2.754411318174137,55.165120399593434,93.73859900000001,6.319993032966641,0.224060520529747,0.15689337485840782,1000000.0
0.0,6.0,27.32884658064516,4.0,1217.0,8.0,52.0,3.0,52.0,44.445167843709676,1.0,30.0,5.0,2.0,5.0,0.32736035374535133,1,32.0,4.802976940821619,1.0,0.0996875,9.0,2.754411318174137,19.854812875529504,90.95650300000005,5.79166810206523,0.2681259512901306,0.1594567512504207,1000000.0
1.0,4.0,27.32884658064516,4.0,953.0,5.0,64.0,14.0,60.0,2.306418190290729,1.0,20.0,9.0,0.0,8.76800015729377,0.7861419044123552,1,44.56744081089334,8.422015485973624,1.0,0.0996875,3.0,2.754411318174137,122.75706339158054,90.06677700000004,6.9329936410955835,0.24291616678237915,0.1374751711168441,25.19608053713599
0.0,2.0,27.32884658064516,4.0,313.0,10.0,66.0,5.0,103.0,31.220454178715748,1.0,46.0,9.0,1.0,5.0,1.3594868450372246,1,20.0,2.0450063448763265,1.0,0.0996875,5.0,2.754411318174137,75.21634118989006,92.91243000000006,5.859562568380741,0.36877700686454773,0.1872731377270165,1000000.0
1.0,8.0,27.32884658064516,4.0,1337.0,1.0,55.0,6.0,49.0,25.47248473981339,1.0,49.0,19.0,0.0,8.019384154234597,1.0526325338006015,1,12.0,8.85126991417524,1.0,0.0996875,4.0,2.754411318174137,72.60115661398578,91.05242600000001,6.854967068123698,0.24674475193023682,0.14761149854751943,1000000.0
0.0,6.0,27.32884658064516,4.0,96.0,1.0,76.49180173510845,13.0,59.0,47.595277469865,1.0,19.0,25.0,2.0,6.0,0.8392562129471377,1,24.0,4.411487457923546,1.0,0.0996875,9.0,2.754411318174137,51.09018002247596,89.04578600000002,9.879797970480283,-0.02381100505590439,0.18203504239650686,1000000.0
1.0,6.0,27.32884658064516,4.0,294.0,0.0,80.76573476157355,5.0,56.0,8.661145353929445,1.0,16.0,12.0,1.0,8.0,0.08543034366337077,1,27.0,3.0410625307471237,1.0,0.0996875,9.0,2.754411318174137,60.89777421850311,92.55066000000005,6.319993032966641,0.41727516055107117,0.16627248766128325,1000000.0
0.0,2.0,27.32884658064516,4.0,290.0,11.0,69.0,2.0,49.0,47.82648619004277,1.0,22.0,0.0,1.0,8.312818802011627,0.6359979244839491,1,33.0,7.06288655160856,1.0,0.0996875,9.0,2.754411318174137,29.60635107591061,91.45420500000006,5.859562568380741,0.24867567420005798,0.15575793401374602,1000000.0
0.0,6.0,27.32884658064516,4.0,1188.0,15.0,78.92887201084909,0.0,99.0,36.750902525606904,1.0,67.0,2.0,1.0,10.59629886082785,1.7919510841444315,1,36.0,4.509701845869944,1.0,0.0996875,5.0,2.754411318174137,43.08099822621015,91.72575000000005,5.79166810206523,0.2363726943731308,0.14729923901626996,1000000.0
1.0,2.0,27.32884658064516,4.0,198.0,11.0,59.0,3.0,119.0,54.51111116578625,1.0,17.0,22.0,0.0,10.559151498237025,0.5606364361619329,1,39.0,6.998606435236025,1.0,0.0996875,4.0,2.754411318174137,87.82457602491627,92.89822100000004,8.3949721456315,0.0044648959301412106,0.15307729061905076,1000000.0
