Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,4.0,3.0,69.23031764285956,1.0,23.0,27.32884658064516,0.0,0.0,8.0,0.0,19.0,1.0,5,0.0,0.0,2.0,3.0819398324322718,0.314,5.0,35.0,89.0,1.4280600332415827,21.735890490774608,109.48924600000001,6.683555807408292,0.40522757172584534,0.21635086674500534,1000000.0
1.0,4.0,4.0,74.26909183515681,1.0,25.0,27.32884658064516,104.0,0.0,14.0,39.1593354344745,14.0,1.0,5,20.0,0.2152161568946851,1.0,3.217348528143688,0.314,5.0,33.0,65.0,1.4280600332415827,36.60325950399194,111.94848800000001,8.925303261507526,0.4186723828315735,0.18812084792524736,1000000.0
5.0,4.0,5.0,58.0,1.0,17.0,27.32884658064516,0.0,0.0,8.0,0.0,2.0,1.0,5,0.0,0.0,2.0,2.5362602925544815,0.314,7.0,33.0,95.0,1.4280600332415827,51.96694987353692,109.707341,6.5675080327819595,0.5494270920753479,0.2280011646724397,1000000.0
11.0,4.0,3.0,55.0,1.0,4.0,27.32884658064516,0.0,0.0,5.0,0.0,14.0,1.0,5,0.0,0.0,2.0,2.687793534615931,0.314,7.0,30.0,66.0,1.4280600332415827,27.976809880679372,109.17391400000001,6.565161149340946,0.5827142000198364,0.24069315594525398,1000000.0
15.0,4.0,5.0,78.09856276176446,1.0,1.0,27.32884658064516,0.0,2.0,2.0,0.0,16.0,0.0,5,0.0,0.056886428818126854,2.0,4.172867124934226,0.314,11.529230739748886,30.000000000000007,17.0,1.4280600332415827,54.56546946219779,104.49220900000002,7.605025091768587,0.6044882535934448,0.15174007631856037,1000000.0
8.0,4.0,9.0,65.0,1.0,10.0,27.32884658064516,0.0,0.0,6.0,0.0,17.0,1.0,5,0.0,0.0,2.0,5.1052722342709975,0.314,6.846849244221632,33.0,16.0,1.4280600332415827,51.88987194895944,109.21272700000004,5.916465434499041,0.6664850115776062,0.22680638923306007,1000000.0
6.0,4.0,5.0,59.0,1.0,23.0,27.32884658064516,587.0,0.0,13.0,32.73834392356899,31.0,1.0,5,7.0,0.7271021333900893,1.0,4.10138564668225,0.314,7.0,34.0,72.0,1.4280600332415827,17.92924328029015,109.82416699999997,9.953013629595242,0.7616798877716064,0.1580782137957963,1000000.0
6.0,4.0,0.0,69.0,1.0,30.0,27.32884658064516,0.0,1.0,2.0,0.0,10.0,1.0,5,0.0,0.0,2.0,4.014619778609891,0.314,6.0,40.0,38.0,1.4280600332415827,30.562469878518613,110.03590200000004,6.642142840338956,0.6602253317832947,0.20404766089377077,1000000.0
11.0,4.0,3.0,60.0,1.0,9.0,27.32884658064516,0.0,2.0,2.0,0.0,15.0,1.0,5,0.0,0.0,2.0,3.1556960903715927,0.314,5.0,32.0,62.0,1.4280600332415827,30.566679062498306,109.42569300000001,6.565161149340946,0.6007920503616333,0.18799589925672724,1000000.0
11.0,4.0,9.0,68.0,1.0,9.0,27.32884658064516,2.0,1.0,8.0,42.48135143337993,27.0,0.0,5,17.0,0.9648941845497034,1.0,3.6803258299750077,0.314,5.0,42.46897618072283,75.0,1.4280600332415827,60.648247536379024,106.81973300000003,10.560148192366157,0.7894245982170105,0.21732468881030528,22.71529864067822
