Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N (g)
70.0,0.0,0.0,0.0,0.0,0.0,9.559999999999999,65.7,0.0,2.2,2.312403
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.08241758199999999,2.230494505,0.07
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.826446281,2.231404959,17.43
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,1.643835616,2.230684932,32.42
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,9.449895
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,9.776990176
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,9.474158647
30.0,30.0,0.0,0.0,0.0,8.968501546,0.03,71.6522,0.149475026,2.178001,0.154316235
30.0,30.0,0.0,0.0,0.0,6.709270849,0.03,72.646,0.156029555,2.236472,0.0508431
30.0,30.0,0.0,0.0,0.0,0.0,0.03,73.0435,0.161290453,2.201264,0.365375294
60.0,60.0,0.0,0.0,0.0,1.888750519,0.03,71.6013,0.217484278,2.0704475934,13.62857424
60.0,60.0,0.0,0.0,0.0,2.469904525,0.03,71.0923,0.213286019,2.0704475934000004,7.83150634
60.0,60.0,0.0,0.0,0.0,2.00498132,0.03,70.8378,0.211717062,2.0704475934,4.45141638
60.0,60.0,0.0,0.0,0.0,0.0,0.03,70.0742,0.207552684,2.0704475934000004,10.18277647
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.858895706,2.6237,31.42505882
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9256198349999999,1.99111,24.94709412
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9032258060000001,1.60222,24.80923529
21.0,21.0,1.0,20.0,4.0,0.0,0.0474,49.21,0.7203108756,2.1789820000000004,0.855342353
21.0,21.0,1.0,20.0,4.0,2.0,0.0474,49.21,0.4936900585,2.207215,0.536614235
21.0,21.0,1.0,20.0,4.0,3.12819276,0.0474,49.21,0.6743567252,1.9174149999999999,1.116450588
35.0,0.0,0.0,0.0,5.0,0.0,0.004,59.99999999999999,0.0,4.93787,0.0467176
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.21598,0.0558779
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.6716,0.0486641
35.0,0.0,0.0,0.0,5.0,7.5,0.004,59.99999999999999,0.0,4.06213,0.0303435
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.37574,0.0526718
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.09172,0.0320611
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.03846,0.0285115
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,3.166656,0.0367557
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.45300000000001,0.4677810546000001,2.29,0.303104941
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.82180000000001,0.5208588784,2.46,0.267075529
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.5272,0.5109142502999999,2.39,0.384885529
