Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),N2O-N loss (%)
74.3,0.0,0.0,0.0,11.1,0.0,4.6137999999999995,66.26,0.0,2.287306,0.033
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,0.059511185
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,0.042346822
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,0.033603861
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.858895706,2.6237,0.136
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9256198349999999,1.99111,0.214
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9032258060000001,1.60222,0.279
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.909090909,1.32741,0.315
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,66.9,1.207272727,1.5,1.68
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,58.6,0.964341085,1.6999999999999997,0.69
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,53.1,0.855474453,1.8999999999999997,1.34
287.0,0.0,0.0,0.0,0.0,0.0,0.0490625,80.89,0.0,2.516,0.9
287.0,0.0,0.0,0.0,0.0,0.0,0.098125,80.82,0.0,2.83,1.1
55.99999999999999,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,1.37254902,1.13
55.99999999999999,56.0,0.0,0.0,0.0,1.730103806,1.37,71.1,0.108,1.6608996539999998,1.06
55.99999999999999,56.0,0.0,0.0,0.0,1.388888889,1.37,71.2,0.108,2.395833333,1.02
55.99999999999999,56.0,0.0,0.0,0.0,3.703703704,1.37,67.6,0.108,2.191358025,0.71
55.99999999999999,56.0,0.0,0.0,0.0,0.324675325,1.37,69.2,0.108,2.337662338,0.81
55.99999999999999,56.0,0.0,0.0,0.0,2.068965517,1.37,71.0,0.108,2.310344828,0.77
55.99999999999999,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,2.222222222,1.2
55.99999999999999,56.0,0.0,0.0,0.0,2.836879433,1.18,71.8,0.108,2.304964539,1.03
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,0.112742261
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,0.114916354
64.0,0.0,0.0,0.0,12.0,0.0,1.1,74.27405248,0.0,2.048921124,0.067086304
64.0,64.0,30.0,1410.0,12.0,0.0,1.1,74.27405248,2.5,2.048921124,0.06553338
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.91530548
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,1.098572328
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,1.02273777
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.975414655
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.434579047
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.490720134
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.327734621
