Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,1.0,0,0,2,0.0,4,3,6,15,50.0,50.0,0,0.0,9.0,20.0,61.98,0.3,19.43,0.86
9,1.0,0,0,3,0.0,4,3,6,15,50.0,50.0,0,0.0,9.0,20.5,62.48,0.3,17.95,0.83
9,1.0,0,0,3,0.0,4,3,6,15,50.0,50.0,0,0.0,9.0,21.0,61.99,0.3,17.95,0.68
9,1.0,0,0,3,0.0,4,3,6,15,50.0,50.0,0,0.0,9.0,22.0,61.99,0.3,17.95,0.58
8,1.0,0,0,2,0.0,31,3,5,13,34.0,34.0,0,0.0,7.0,0.0,67.6,0.03,33.5,8.7
8,1.0,0,0,2,0.0,24,3,5,8,34.0,34.0,0,0.0,7.0,7.73,67.3,0.03,33.52,7.87
8,1.0,0,0,2,0.0,17,3,5,6,34.0,34.0,0,0.0,7.0,7.13,66.8,0.03,33.11,6.6
8,1.0,0,0,2,0.0,24,3,5,6,34.0,34.0,0,0.0,7.0,6.05,66.0,0.03,31.53,3.5
7,1.0,0,0,2,0.0,31,3,6,13,91.0,64.2,0,0.0,13.0,0.0,60.0,0.91,20.0,12.93
7,1.0,0,0,2,0.0,4,3,6,13,91.0,81.0,0,0.0,13.0,12.5,60.0,1.05,20.0,9.07
7,1.0,0,0,2,0.0,12,3,6,13,91.0,81.0,0,0.0,13.0,12.5,60.0,1.05,20.0,4.31
7,1.0,0,0,2,0.0,4,3,6,3,91.0,82.6,0,0.0,13.0,25.0,60.0,0.95,20.0,2.61
7,1.0,0,0,2,0.0,31,3,6,13,91.0,76.8,0,0.0,13.0,0.0,60.0,1.05,25.0,10.74
7,1.0,0,0,2,0.0,4,3,6,13,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,25.0,7.73
7,1.0,0,0,2,0.0,12,3,6,13,91.0,76.6,0,0.0,13.0,12.5,60.0,0.95,25.0,3.65
